0.00;0.55;6.85;11.25;0.00;0.00;0.00;0.00;13.65;9.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.35;5.45;7.35;0.00;0.00;11.20;9.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.55;0.00;6.65;11.05;0.00;0.00;0.00;0.00;13.45;9.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.15;5.25;7.15;0.00;0.00;11.00;9.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6.85;6.65;0.00;3.80;0.00;0.00;0.00;0.00;9.20;7.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.10;8.80;10.70;0.00;0.00;14.55;12.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11.25;11.05;3.80;0.00;9.00;0.00;0.00;0.00;9.60;7.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.50;10.20;15.10;0.00;0.00;18.95;17.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;9.00;0.00;4.30;0.00;7.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;4.30;0.00;7.00;7.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;7.00;0.00;8.10;0.00;0.00;0.00;0.00;12.35;11.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;7.80;7.50;8.10;0.00;5.25;0.00;9.55;12.15;12.30;0.00;0.00;0.00;0.00;0.00;0.00;15.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13.65;13.45;9.20;9.60;0.00;0.00;0.00;5.25;0.00;10.25;8.05;12.10;15.75;0.00;0.00;0.00;0.00;0.00;0.00;18.60;0.00;0.00;0.00;15.90;12.60;17.50;0.00;0.00;21.35;19.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9.45;9.25;7.45;7.85;0.00;0.00;0.00;0.00;10.25;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.60;6.90;13.30;0.00;0.00;17.15;15.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
